"","siteID","mean_temp","datetime"
"124","UKFS",7.47741713255185,2017-02-01
"125","BLAN",6.13170456989247,2017-03-01
"126","KONZ",8.89620969044415,2017-03-01
"127","ORNL",11.0780106998654,2017-03-01
"128","OSBS",17.9537102960969,2017-03-01
"129","SERC",5.04157722681359,2017-03-01
"130","UKFS",9.12783061911171,2017-03-01
"131","BLAN",15.3533189640769,2017-04-01
"132","KONZ",14.5550834179357,2017-04-01
"133","ORNL",18.2253361613352,2017-04-01
"134","OSBS",21.9758514345696,2017-04-01
"135","SERC",17.0573165745856,2017-04-01
"136","UKFS",13.9759483333333,2017-04-01
"137","BLAN",16.5337948252688,2017-05-01
"138","KONZ",19.7194255162242,2017-05-01
"139","ORNL",19.2168547360248,2017-05-01
"140","OSBS",24.5034430107527,2017-05-01
"141","SERC",16.8997514592934,2017-05-01
"142","UKFS",18.3304003399048,2017-05-01
"143","BLAN",22.4056255215577,2017-06-01
"144","KONZ",24.1282756944444,2017-06-01
"145","ORNL",22.3840904494382,2017-06-01
"146","OSBS",25.0389084027778,2017-06-01
"147","SERC",23.5693258790436,2017-06-01
"148","UKFS",23.2740554528651,2017-06-01
"149","BLAN",23.8409740416947,2017-07-01
"150","KONZ",26.9496343413979,2017-07-01
"151","ORNL",23.9958678281069,2017-07-01
"152","OSBS",26.5074473790323,2017-07-01
"153","SCBI",22.8545272365805,2017-07-01
"154","SERC",25.3659641431521,2017-07-01
"155","UKFS",26.0539394204852,2017-07-01
"156","BLAN",21.4819052419355,2017-08-01
"157","KONZ",22.1004800489596,2017-08-01
"158","ORNL",23.2733403792135,2017-08-01
"159","OSBS",26.5101897177419,2017-08-01
"160","SCBI",21.646179905914,2017-08-01
"161","SERC",23.1847215870881,2017-08-01
"162","TALL",25.2937930627306,2017-08-01
"163","UKFS",22.3802034993271,2017-08-01
"164","BLAN",18.6920490264256,2017-09-01
"165","KONZ",22.3976611805556,2017-09-01
"166","ORNL",20.3320457638889,2017-09-01
"167","OSBS",25.6301032195122,2017-09-01
"168","SCBI",19.1740140277778,2017-09-01
"169","SERC",20.7988885416667,2017-09-01
"170","TALL",23.1071148176292,2017-09-01
"171","UKFS",21.7782343993086,2017-09-01
"172","BLAN",15.3978383736559,2017-10-01
"173","KONZ",14.6450438844086,2017-10-01
"174","ORNL",15.2098464,2017-10-01
"175","OSBS",22.4863995295699,2017-10-01
"176","SCBI",15.8660466039005,2017-10-01
"177","SERC",17.1666444892473,2017-10-01
"178","TALL",18.341595879323,2017-10-01
"179","UKFS",14.604755465587,2017-10-01
