"","year","month","siteID","total_precip","datetime"
"113",2019,10,"OSBS",70.51,2019-10-01
"114",2019,11,"KONZ",17.57,2019-11-01
"115",2019,11,"ORNL",81.3,2019-11-01
"116",2019,11,"OSBS",70.25,2019-11-01
"117",2019,12,"KONZ",32.8,2019-12-01
"118",2019,12,"ORNL",90.09,2019-12-01
"119",2019,12,"OSBS",5.26,2019-12-01
"120",2020,1,"KONZ",33.74,2020-01-01
"121",2020,1,"ORNL",144.95,2020-01-01
"122",2020,1,"OSBS",45.68,2020-01-01
"123",2020,2,"KONZ",22.2,2020-02-01
"124",2020,2,"ORNL",189.17,2020-02-01
"125",2020,2,"OSBS",71.06,2020-02-01
"126",2020,3,"KONZ",41.67,2020-03-01
"127",2020,3,"ORNL",139.29,2020-03-01
"128",2020,3,"OSBS",69.55,2020-03-01
"129",2020,4,"KONZ",9.37,2020-04-01
"130",2020,4,"ORNL",25.81,2020-04-01
"131",2020,4,"OSBS",192.44,2020-04-01
"132",2020,5,"ORNL",38.39,2020-05-01
"133",2020,5,"OSBS",134.59,2020-05-01
"134",2020,6,"KONZ",49.03,2020-06-01
"135",2020,6,"ORNL",114.01,2020-06-01
"136",2020,6,"OSBS",206.73,2020-06-01
"137",2020,7,"KONZ",68.76,2020-07-01
"138",2020,7,"ORNL",76,2020-07-01
"139",2020,7,"OSBS",80.34,2020-07-01
"140",2020,7,"TALL",108.84,2020-07-01
"141",2020,8,"KONZ",44.67,2020-08-01
"142",2020,8,"ORNL",127,2020-08-01
"143",2020,8,"OSBS",110.89,2020-08-01
"144",2020,8,"TALL",9.68,2020-08-01
"145",2020,9,"KONZ",46.54,2020-09-01
"146",2020,9,"ORNL",123.24,2020-09-01
"147",2020,9,"OSBS",101.08,2020-09-01
"148",2020,9,"TALL",1.79,2020-09-01
"149",2020,10,"KONZ",16.83,2020-10-01
"150",2020,10,"ORNL",182.08,2020-10-01
"151",2020,10,"OSBS",101.61,2020-10-01
"152",2020,11,"KONZ",46.92,2020-11-01
"153",2020,11,"ORNL",56.33,2020-11-01
"154",2020,11,"OSBS",76.94,2020-11-01
"155",2020,12,"KONZ",8.07,2020-12-01
"156",2020,12,"ORNL",32.96,2020-12-01
"157",2020,12,"OSBS",71.19,2020-12-01
"158",2021,1,"KONZ",5.16,2021-01-01
"159",2021,1,"OSBS",40.34,2021-01-01
"160",2021,2,"KONZ",5.83,2021-02-01
